Date,Media,Title,Article,Summary,Key_words
,,,,,[]
,,,,,[]
1 day ago,Equitypandit,"Dabur India Outlook for the Week (April 08, 2024","Technically, Dabur India share price will see immediate support at 495.95 and immediate resistance would be seen at 526.20.

Dabur India closed the previous week on a negative note losing 5.68%.

If Dabur India share price closes below immediate support of 495.95, then sharp breakdown can be seen. Dabur India share price will see major support at 484.00 for the week.

On the positive side, immediate resistance will be seen at 526.20. Closing above 526.20, Dabur India share price will see a sharp breakout. Major resistance for Dabur India share price will be seen at 544.50 for the week.

Trading range for Dabur India share price for this week should be between 465.70 on down side and 556.45 on up side.

Dabur India Previous Week High: 532.55

Dabur India Previous Week Low: 502.3

Dabur India Previous Week Range: 30.25 Points

Dabur India share price support and resistance for the week (April 08, 2024 – April 12, 2024)","Technically, Dabur India share price will see immediate support at 495.95 and immediate resistance would be seen at 526.20.
Dabur India closed the previous week on a negative note losing 5.68%.
Closing above 526.20, Dabur India share price will see a sharp breakout.
Trading range for Dabur India share price for this week should be between 465.70 on down side and 556.45 on up side.
Dabur India Previous Week High: 532.55Dabur India Previous Week Low: 502.3Dabur India Previous Week Range: 30.25 PointsDabur India share price support and resistance for the week (April 08, 2024 – April 12, 2024)","['dabur', 'share', '2024', 'outlook', 'support', '08', 'seen', 'week', 'price', 'resistance', 'immediate', 'india', 'previous']"
1 day ago,ET BrandEquity,"Dabur launches Odomos Universal; teams up with Kajol, Marketing & Advertising News, ET BrandEquity","Dabur said demand trends remained sluggish during the March quarter as the company is expected to report mid-single-digit revenue growth. The inorganic revenue growth which was to the extent of around 2.3% in the December quarter on account of the Badshah acquisition is now factored into the base. Meanwhile, rural growth picked up fuelled by price rollbacks in staples which led to the gap between rural and urban narrowing.","Dabur said demand trends remained sluggish during the March quarter as the company is expected to report mid-single-digit revenue growth.
The inorganic revenue growth which was to the extent of around 2.3% in the December quarter on account of the Badshah acquisition is now factored into the base.
Meanwhile, rural growth picked up fuelled by price rollbacks in staples which led to the gap between rural and urban narrowing.","['growth', 'trends', 'rural', 'kajol', 'sluggish', 'marketing', 'teams', 'staples', 'universal', 'launches', 'dabur', 'quarter', 'odomos', 'advertising', 'et', 'rollbacks', 'urban', 'revenue', 'report', 'brandequity']"
1 day ago,afaqs!,Dabur enters the mosquito liquid vaporizer market with Odomos Universal; Kajol Devgan to endorse the brand,"Dabur India announced its entry into mosquito Liquid Vaporizer category with the launch of Odomos Universal Mosquito Liquid Vaporizer. It will be available in electronic mosquito repellent machine and mosquito repellent refill which fits in all standard machines. The company has also roped in Bollywood star Kajol as the face of this brand. A series of campaigns, featuring Kajol, will be launched shortly to promote this product.","Dabur India announced its entry into mosquito Liquid Vaporizer category with the launch of Odomos Universal Mosquito Liquid Vaporizer.
It will be available in electronic mosquito repellent machine and mosquito repellent refill which fits in all standard machines.
The company has also roped in Bollywood star Kajol as the face of this brand.
A series of campaigns, featuring Kajol, will be launched shortly to promote this product.","['odomos', 'repellent', 'shortly', 'market', 'kajol', 'liquid', 'standard', 'mosquito', 'endorse', 'star', 'devgan', 'enters', 'vaporizer', 'series', 'universal']"
1 day ago,MSN,MSN,,,['msn']
1 day ago,The New Indian Express,Dabur expects mid-single digit revenue growth in Q4,"NEW DELHI: On account of sluggish demand trends, FMCG major Dabur is expecting a mid-single digit growth in its consolidated revenues in the recently concluded March quarter. The company stated that the past year was “challenging” for consumer demand but it expects improvement going ahead.

“Demand trends remained sluggish during the quarter. Rural growth picked up fuelled by price roll backs in staples which led to the gap between rural and urban narrowing. With a positive outlook for the rabi crop harvest and monsoon forecast to be normal we expect consumption to pickup in the coming months,” Dabur India Ltd said in a regulatory filing on Thursday.

Dabur added that the inorganic revenue growth which was to the extent of around 2.3% till YTD ‘Dec 2023 on account of Badshah acquisition is now factored in the base. Gross margins are likely to continue to witness expansion on account of deflation in input cost and cost- saving initiatives, said the company. Following this disclosure, shares of Dabur hit a 52-week low Rs 502.30 intraday on Thursday and closed 4.7% lower at Rs 507.25 a piece.","NEW DELHI: On account of sluggish demand trends, FMCG major Dabur is expecting a mid-single digit growth in its consolidated revenues in the recently concluded March quarter.
The company stated that the past year was “challenging” for consumer demand but it expects improvement going ahead.
“Demand trends remained sluggish during the quarter.
Rural growth picked up fuelled by price roll backs in staples which led to the gap between rural and urban narrowing.
Following this disclosure, shares of Dabur hit a 52-week low Rs 502.30 intraday on Thursday and closed 4.7% lower at Rs 507.25 a piece.","['dabur', 'expects', 'quarter', 'cost', 'sluggish', 'growth', 'revenue', 'digit', 'rs', 'q4', 'account', 'midsingle', 'trends', 'rural', 'demand']"
1 day ago,The Economic Times,"Hot Stocks: Brokerage view on Dabur, Bajaj Finance, Aavas Financiers and HDFC Bank","We have collated a list of recommendations from top brokerage firms from ETNow and other sources:

Macquarie on HDFC Bank: Outperform| Target Rs 2000

Citigroup on Dabur India: Sell| Target Rs 500

Citigroup on Aavas Financiers: Buy| Target Rs 1830

Citigroup on Bajaj Finance: Buy| Target Rs 8975





(You can now subscribe to our

(You can now subscribe to our ETMarkets WhatsApp channel

Brokerage firm Macquarie maintained an outperform rating on HDFC Bank while Citigroup maintained a sell rating on Dabur India and a buy rating on Aavas Financiers as well as on Bajaj Finance Macqurie maintained an outperform rating on HDFC Bank with a target price of Rs 2000. The consolidation strategy is playing out well for the private sector lender.Deposit growth has surprised positively. Decline in corporate loan growth and LDR are excellent outcomes. The valuations remain attractive and long-term investors can look to add the stock to their portfolio.Citigroup maintained a sell rating on Dabur India and slashed the target price to Rs 500 from Rs 520 earlier.There are multiple challenges across demand. The global investment bank believes that profitability misses in Q4 is due to higher ad spends and an inferior mix.Sustained acceleration in volume/revenue growth and/or recovery in profitability would be key.Citigroup maintained a buy rating on Aavas Financiers with a target price of Rs 1830. The company reported in-line AUM growth at 22% YoY and the branch rollout has picked up pace.Declining trend in net interest margins (NIMs) to be arrested. The cost to assets trajectory is likely to be stable while return on assets (RoA) would improve QoQ.Citigroup maintained a buy rating on Bajaj Finance with a target price of Rs 8975. Regulatory restrictions impact new loan books. Deposit accretion continued and the liquidity buffer has improved. The NIMs is likely to come off 10 bps QoQ.","We have collated a list of recommendations from top brokerage firms from ETNow and other sources:Macquarie on HDFC Bank: Outperform| Target Rs 2000Citigroup on Dabur India: Sell| Target Rs 500Citigroup on Aavas Financiers: Buy| Target Rs 1830Citigroup on Bajaj Finance: Buy| Target Rs 8975(You can now subscribe to our(You can now subscribe to our ETMarkets WhatsApp channelBrokerage firm Macquarie maintained an outperform rating on HDFC Bank while Citigroup maintained a sell rating on Dabur India and a buy rating on Aavas Financiers as well as on Bajaj Finance Macqurie maintained an outperform rating on HDFC Bank with a target price of Rs 2000.
The consolidation strategy is playing out well for the private sector lender.Deposit growth has surprised positively.
The valuations remain attractive and long-term investors can look to add the stock to their portfolio.Citigroup maintained a sell rating on Dabur India and slashed the target price to Rs 500 from Rs 520 earlier.There are multiple challenges across demand.
The company reported in-line AUM growth at 22% YoY and the branch rollout has picked up pace.Declining trend in net interest margins (NIMs) to be arrested.
The cost to assets trajectory is likely to be stable while return on assets (RoA) would improve QoQ.Citigroup maintained a buy rating on Bajaj Finance with a target price of Rs 8975.","['buy', 'growth', 'rating', 'outperform', 'hot', 'maintained', 'price', 'financiers', 'target', 'stocks', 'dabur', 'brokerage', 'view', 'sell', 'hdfc', 'finance', 'bank', 'rs', 'bajaj']"
1 day ago,Moneycontrol,Dabur India: Can the sluggish growth trend reverse in election year?,"The business update suggests that consumption recovery for staples is still some time away

PRO Only Highlights

- Quarterly performance largely backed by improved realisations

- Medium-term triggers China plus and protectionist measures for tyre industry

- Valuations not inexpensive; but improved medium-term outlook

Key highlights

Rural growth picked up on price cuts

Healthcare business to suffer due to delayed winter

Operating margins to improve marginally

Better crop harvest, normal monsoon will aid consumption growth

Downside limited after significant time correction

Dabur India’s (DIL; CMP: Rs 507; Market capitalisation: Rs 89,710 crore) quarterly update reiterated weak demand trends. However, growth in rural markets picked up on the back of price cuts, aiding market share growth across categories.

The stock corrected by around 5 percent after the announcement","The business update suggests that consumption recovery for staples is still some time awayPRO Only Highlights- Quarterly performance largely backed by improved realisations- Medium-term triggers China plus and protectionist measures for tyre industry- Valuations not inexpensive; but improved medium-term outlookKey highlightsRural growth picked up on price cutsHealthcare business to suffer due to delayed winterOperating margins to improve marginallyBetter crop harvest, normal monsoon will aid consumption growthDownside limited after significant time correctionDabur India’s (DIL; CMP: Rs 507; Market capitalisation: Rs 89,710 crore) quarterly update reiterated weak demand trends.
However, growth in rural markets picked up on the back of price cuts, aiding market share growth across categories.
The stock corrected by around 5 percent after the announcement","['dabur', 'trend', 'election', 'picked', 'market', 'consumption', 'improved', 'sluggish', 'growth', 'mediumterm', 'rs', 'price', 'quarterly', 'reverse', 'update', 'india']"
1 day ago,mint,"Stocks to Watch: HDFC Bank, Dabur, Hero MotoCorp, Prestige Group, RBL Bank","HDFC Bank: The bank announced a 55.4% year-on-year (YoY) increase in gross advances, reaching ₹25.08 lakh crore as of March 31, 2024. This is a significant rise from the ₹16.14 lakh crore reported as of March 31, 2023. On a sequential basis, the bank's advances grew by 1.6%, from ₹24.69 lakh crore in December 2023. The bank also reported substantial growth in its domestic retail loans, with a YoY increase of approximately 108.9% and a quarter-on-quarter (QoQ) increase of around 3.7%. In Q4FY24, HDFC Bank's deposits totaled approximately ₹23.80 lakh crore, marking a YoY increase of 26.4% and a QoQ increase of 7.5%. The bank's CASA deposits in the fourth quarter of FY24 rose by 8.7% to ₹9.09 lakh crore, up from ₹8.36 lakh crore as of March 2023. The sequential growth in CASA deposits was 8.8%.

Hero MotoCorp: The company announced on Thursday that it has been served a tax demand notice from the Income Tax Department. The notice amounts to a total of ₹605 crore, inclusive of interest, for six assessment years (FY14 to FY18 & FY20). On April 3, the company received assessment orders/demand notices dated March 30, 2024, related to the aforementioned six assessment years, as per an exchange filing by Hero MotoCorp. The received orders/notices pertain to six assessment years and amount to a tax demand of ₹308.65 crore, along with an interest of ₹296.22 crore. This demand is due to certain disallowances for the assessment years 2013-14 to 2017-18 and 2019-20, as stated by Hero MotoCorp.

Prestige Group: The real estate developer has acquired a 21-acre plot in Whitefield, a prime tech hub in Bengaluru, for a sum of ₹450 crore. The company plans to use this land for a residential project that will span around 4 million sq. ft and house 1,800 apartments. This acquisition marks the second major land deal for the Bengaluru-headquartered developer this year. Earlier in March, it had purchased a 62.5-acre plot in Indirapuram Extension, Ghaziabad, for ₹468 crore. Irfan Razack, the Chairman and Managing Director of Prestige Group, anticipates that this large-scale project will yield a Gross Development Value (GDV) of ₹4,500 crore.

RBL Bank: On Thursday, the private sector lender revealed a 22% year-on-year (YoY) and 12% quarter-on-quarter (QoQ) increase in its total deposits. The bank's gross advances also experienced robust growth, rising by 19% YoY and 5% over the previous quarter. Despite the strong performance, the CASA (current account savings account) ratio experienced fluctuations, standing at 35.2%, compared to 37.4% YoY and 33.8% QoQ. Retail advances surged by 29% YoY. Wholesale advances saw a growth of 7%, with commercial banking witnessing a 17% increase. The ratio of retail to wholesale advances remained approximately at 58:42.

Royal Orchid Hotels: Chander K. Baljee, chairman and managing director of Royal Orchid Hotels Ltd, said at the HICSA hospitality event that the company has entered into a contract to establish a 300-room five-star hotel at Terminal 2 of Mumbai Airport. The hotel, which is a minute's walk from the terminal, is slated to open its doors by the end of 2024. In the previous year, Royal Orchid Hotels, which also operates the Regenta Inn brand, had added three properties in Gurugram, Pune, and Goa to its portfolio through revenue-sharing agreements. Further, the company plans to introduce a new full-service hotel brand. However, Baljee chose not to disclose more information about this upcoming category.

IndusInd Bank: The bank announced on Thursday an 18% increase in advances, reaching ₹3,42,857 crore in the March quarter. This is a significant rise from the ₹2,89,924 crore reported at the end of the fourth quarter of the previous financial year. The bank also reported a 14% increase in deposits for the reviewed quarter, amounting to ₹3,84,789 crore, up from ₹3,36,438 crore in the same period last year. However, the bank's low-cost deposits, comprising current account and saving deposits (CASA), saw a decrease, standing at 37.9% compared to 40.1% of the total liabilities during the quarter.

Dabur India: The manufacturer of packaged consumer goods is expected to have achieved a mid-single digit increase in its consolidated revenues for the quarter ending in March, according to the company's quarterly update released on Thursday. Over the quarter, the company noticed a slow demand trend. However, a surge in rural growth, driven by staple price reductions, has helped to lessen the disparity between rural and urban areas. ""Given the optimistic forecast for the rabi crop harvest and a normal monsoon, we anticipate a rise in consumption in the upcoming months. Dabur's consolidated revenue is projected to witness a mid-single digit growth during Q4 FY24,"" the company said in an exchange filing. The company has yet to disclose its annual and quarterly earnings.

Bajaj Finance: The company's customer base saw a substantial increase, reaching 83.64 million as of March 31, 2024, up from 69.14 million the previous year. This translates to a surge of 3.23 million customers during Q4 FY24. Despite the Reserve Bank of India (RBI) imposing restrictions on certain loan products, Bajaj Finance succeeded in securing 7.87 million new loans during Q4 FY24, marking a 4% growth compared to the same period last year. However, due to the regulatory constraints mentioned, the number of new loans was reduced by 0.80 million.

Nestle India: The National Consumer Dispute Redressal Commission (NCDRC) in New Delhi has rejected the Central government's case against Nestle India concerning alleged unfair trade practices in the sale of Maggi Noodles. In 2015, the government lodged a complaint against the company, accusing it of engaging in unfair trade practices by producing and marketing harmful and faulty goods to consumers in the form of Maggi noodles. The government had sought compensation of ₹284.55 crore and punitive damages amounting to ₹355.41 crore.

Larsen & Toubro: The company was penalized by Qatar's General Tax Authority, as revealed on Thursday, April 4. The authority imposed a fine of ₹ 60.84 crore (26,549,309 QAR) due to discrepancies in the company's declared income compared to the authority's assessment. The penalty, which was levied on Wednesday, April 3, pertains to the income declared for the fiscal year from April 1, 2018, to March 31, 2019. The company plans to contest the penalty, deeming it arbitrary and unjustified, as stated in a regulatory filing.

HERO MOTOCORP More Information

Milestone Alert! Livemint tops charts as the fastest growing news website in the world 🌏 Click here to know more.

Unlock a world of Benefits! From insightful newsletters to real-time stock tracking, breaking news and a personalized newsfeed – it's all here, just a click away! Login Now!","HDFC Bank: The bank announced a 55.4% year-on-year (YoY) increase in gross advances, reaching ₹25.08 lakh crore as of March 31, 2024.
This is a significant rise from the ₹16.14 lakh crore reported as of March 31, 2023.
In Q4FY24, HDFC Bank's deposits totaled approximately ₹23.80 lakh crore, marking a YoY increase of 26.4% and a QoQ increase of 7.5%.
The bank's CASA deposits in the fourth quarter of FY24 rose by 8.7% to ₹9.09 lakh crore, up from ₹8.36 lakh crore as of March 2023.
IndusInd Bank: The bank announced on Thursday an 18% increase in advances, reaching ₹3,42,857 crore in the March quarter.","['prestige', 'watch', 'advances', 'growth', 'hero', 'group', 'stocks', 'dabur', 'quarter', 'yoy', 'motocorp', 'company', 'rbl', 'deposits', 'hdfc', 'bank', 'crore', 'increase', 'lakh']"
